"categoria","pregunta","respuesta"
"conceptos","¿Qué es una conciliación bancaria?","Es el proceso de comparar los movimientos registrados en los libros contables de la empresa (el ERP) contra los movimientos que reporta el banco en el extracto, para confirmar que ambos coinciden. Si no coinciden, se investiga la diferencia hasta explicarla o corregirla."
"conceptos","¿Para qué sirve la conciliación bancaria?","Sirve para detectar errores de registro, comisiones no contempladas, pagos duplicados, fraude, y para asegurar que los estados financieros de la empresa reflejen la realidad del dinero que efectivamente entró o salió de las cuentas bancarias."
"conceptos","¿Por qué es importante la conciliación bancaria para el negocio?","Porque sin ella la empresa puede tomar decisiones financieras basadas en cifras equivocadas, puede pasar por alto fraudes o pagos duplicados, puede incumplir con auditorías y reportes regulatorios, y puede perder liquidez sin darse cuenta a tiempo."
"conceptos","¿Qué pasa si una empresa no concilia sus cuentas periódicamente?","Se acumulan diferencias no explicadas, aumenta el riesgo de fraude no detectado, se dificulta el cierre contable mensual, y las auditorías externas suelen marcar esto como una debilidad de control interno."
"conceptos","¿Con qué frecuencia se debería conciliar una cuenta bancaria?","La práctica estándar es conciliar mensualmente como mínimo, aunque cuentas con alto volumen de transacciones o alto riesgo (por ejemplo cuentas de tesorería) suelen conciliarse semanal o incluso diariamente."
"conceptos","¿Cuál es la diferencia entre valor bruto, IVA y valor neto en una transacción?","El valor bruto es el monto total de la transacción antes de impuestos. El IVA es el impuesto al valor agregado aplicado. El valor neto es el resultado de restar (o sumar, según el caso) el IVA al valor bruto; es el monto real que efectivamente se mueve en la cuenta bancaria."
"conceptos","¿Qué diferencia hay entre fecha de operación y fecha contable?","La fecha de operación es cuando ocurrió el movimiento realmente en el banco. La fecha contable es cuando ese movimiento se registró en los libros de la empresa. Si son distintas, puede indicar un desfase de registro que hay que revisar."
"roles","¿Quiénes intervienen normalmente en un proceso de conciliación bancaria?","Típicamente: el analista de conciliación (hace la comparación diaria/mensual), el responsable de tesorería (gestiona flujo de caja y moneda extranjera), contabilidad (registra los ajustes), y en casos de alto riesgo o auditoría, un supervisor o gerente financiero que aprueba o revisa."
"roles","¿Qué hace el analista de conciliación?","Compara los movimientos del banco contra los del ERP, identifica diferencias, investiga la causa, solicita la documentación faltante, y resuelve o escala las incidencias según su nivel de riesgo y prioridad."
"roles","¿Cuándo debe intervenir tesorería en vez del analista?","Cuando la transacción involucra moneda extranjera (cobertura cambiaria), cuando hay mora prolongada que afecta el flujo de caja, o cuando el monto supera el umbral que requiere aprobación adicional."
"roles","¿Quién debe aprobar una transacción de monto alto?","Según la política definida, toda transacción cuyo valor neto absoluto supere el umbral establecido (por ejemplo 7.500.000 COP en este proyecto) requiere una aprobación adicional de un responsable con nivel jerárquico suficiente, antes de poder conciliarse."
"roles","¿A quién se le reporta una transacción con mora prolongada?","Se recomienda enviar alerta al área de Finanzas cuando los días de mora superan los 30 días, ya que esto puede representar un riesgo de liquidez o de pérdida financiera si no se atiende oportunamente."
"procedimiento","¿Cuáles son los pasos generales de un proceso de conciliación bancaria?","1) Obtener el extracto bancario del periodo. 2) Comparar cada movimiento contra el registro del ERP. 3) Marcar las coincidencias como conciliadas. 4) Investigar las diferencias o faltantes. 5) Solicitar documentación o corregir el registro según corresponda. 6) Cerrar la conciliación cuando todas las diferencias estén explicadas o corregidas."
"procedimiento","¿Qué se hace primero cuando una transacción no coincide entre banco y ERP?","Primero se identifica el tipo de diferencia (monto, fecha, duplicado, documento faltante, etc.) usando el campo motivo_revision o una revisión manual, y según el tipo se sigue el procedimiento específico de esa situación (ver la guía de casos)."
"procedimiento","¿Qué significa que una transacción quede en estado 'Pendiente'?","Significa que todavía no se ha podido conciliar contra el extracto bancario, generalmente porque falta información, documentación, o porque aún no se ha revisado."
"procedimiento","¿Qué significa que una transacción quede en estado 'Diferencia'?","Significa que se comparó contra el banco y el valor no coincide con lo registrado en el ERP; requiere una auditoría puntual para explicar por qué existe esa diferencia (comisión no registrada, tipo de cambio, error de digitación, etc.)."
"procedimiento","¿Qué se debe hacer cuando una transacción está duplicada?","Se debe bloquear su carga al ERP de inmediato (para evitar doble pago o doble registro), y comparar los campos clave (fecha, monto, contraparte, documento soporte) entre los registros en conflicto para determinar cuál es el válido."
"procedimiento","¿Cuándo se considera cerrada una conciliación?","Cuando todas las transacciones del periodo están en estado 'Conciliado', o cuando las que quedan en otro estado tienen una causa completamente documentada y aprobada (por ejemplo, una diferencia justificada y aceptada por el responsable correspondiente)."
"politicas","¿Cuál es la política de monto alto en este proyecto?","Toda transacción cuyo valor neto, en valor absoluto, supere los 7.500.000 COP requiere una aprobación adicional antes de poder conciliarse, según la regla de negocio 'Controlar montos altos'."
